RecordID,OriginalIndex,ClusterID
1,0,Cluster_2
2,1,Cluster_3
3,2,Cluster_3
4,3,Cluster_2
5,4,Cluster_0
6,5,Cluster_3
7,6,Cluster_2
8,7,Cluster_1
9,8,Cluster_0
10,9,Cluster_2
11,10,Cluster_4
12,11,Cluster_1
13,12,Cluster_3
14,13,Cluster_4
15,14,Cluster_3
16,15,Cluster_3
17,16,Cluster_4
18,17,Cluster_0
19,18,Cluster_1
20,19,Cluster_2
21,20,Cluster_4
22,21,Cluster_0
23,22,Cluster_0
24,23,Cluster_3
25,24,Cluster_4
26,25,Cluster_4
27,26,Cluster_0
28,27,Cluster_1
29,28,Cluster_1
30,29,Cluster_4
31,30,Cluster_2
32,31,Cluster_2
33,32,Cluster_0
34,33,Cluster_1
35,34,Cluster_1
36,35,Cluster_2
37,36,Cluster_1
38,37,Cluster_3
39,38,Cluster_0
40,39,Cluster_4
